Wvlgth nm;Etr W*m-2*nm-1;Global tilt  W*m-2*nm-1;Direct+circumsolar W*m-2*nm-1
671;1,52900;1,4169E+00;1,2829E+00
672;1,50600;1,3972E+00;1,2651E+00
673;1,51700;1,4094E+00;1,2760E+00
674;1,51300;1,4074E+00;1,2742E+00
675;1,49900;1,3958E+00;1,2639E+00
676;1,51500;1,4120E+00;1,2786E+00
677;1,50000;1,3991E+00;1,2669E+00
678;1,50700;1,4066E+00;1,2737E+00
679;1,49300;1,3947E+00;1,2629E+00
680;1,49400;1,3969E+00;1,2650E+00
681;1,48700;1,3915E+00;1,2601E+00
682;1,49300;1,3981E+00;1,2662E+00
683;1,47600;1,3830E+00;1,2526E+00
684;1,46600;1,3739E+00;1,2445E+00
685;1,46500;1,3748E+00;1,2454E+00
686;1,43300;1,3438E+00;1,2174E+00
687;1,47200;9,6824E-01;8,8285E-01
688;1,47600;1,1206E+00;1,0195E+00
689;1,47800;1,1278E+00;1,0260E+00
690;1,47900;1,1821E+00;1,0746E+00
691;1,46800;1,2333E+00;1,1201E+00
692;1,45400;1,2689E+00;1,1516E+00
693;1,45800;1,2609E+00;1,1446E+00
694;1,45700;1,2464E+00;1,1318E+00
695;1,43500;1,2714E+00;1,1538E+00
696;1,44200;1,2684E+00;1,1513E+00
697;1,43800;1,3403E+00;1,2151E+00
698;1,41700;1,3192E+00;1,1961E+00
699;1,43400;1,2918E+00;1,1721E+00
700;1,42200;1,2823E+00;1,1636E+00
701;1,41310;1,2659E+00;1,1489E+00
702;1,39870;1,2674E+00;1,1500E+00
703;1,40950;1,2747E+00;1,1567E+00
704;1,41870;1,3078E+00;1,1864E+00
705;1,43300;1,3214E+00;1,1989E+00
706;1,41380;1,3144E+00;1,1925E+00
707;1,40400;1,3090E+00;1,1875E+00
708;1,39900;1,3048E+00;1,1839E+00
709;1,39000;1,3095E+00;1,1880E+00
710;1,40400;1,3175E+00;1,1954E+00
711;1,39700;1,3155E+00;1,1934E+00
712;1,38180;1,3071E+00;1,1856E+00
713;1,37020;1,2918E+00;1,1719E+00
714;1,38190;1,3029E+00;1,1823E+00
715;1,35020;1,2587E+00;1,1428E+00
716;1,36940;1,2716E+00;1,1548E+00
717;1,36500;1,1071E+00;1,0081E+00
718;1,35700;1,0296E+00;9,3873E-01
719;1,30100;9,2318E-01;8,4274E-01
720;1,34870;9,8550E-01;8,9940E-01
721;1,34800;1,0861E+00;9,8967E-01
722;1,36000;1,2407E+00;1,1281E+00
723;1,35100;1,1444E+00;1,0423E+00
724;1,36070;1,0555E+00;9,6305E-01
725;1,34650;1,0380E+00;9,4741E-01
726;1,34290;1,0813E+00;9,8638E-01
727;1,34440;1,0850E+00;9,8988E-01
728;1,33700;1,0400E+00;9,4968E-01
729;1,27960;1,0466E+00;9,5503E-01
730;1,33570;1,1285E+00;1,0294E+00
731;1,31040;1,0703E+00;9,7702E-01
732;1,33330;1,1534E+00;1,0520E+00
733;1,31080;1,1962E+00;1,0901E+00
734;1,33900;1,2357E+00;1,1261E+00
735;1,32710;1,2178E+00;1,1101E+00
736;1,31000;1,2059E+00;1,0994E+00
737;1,31200;1,2039E+00;1,0978E+00
738;1,30000;1,2269E+00;1,1184E+00
739;1,26460;1,1905E+00;1,0855E+00
740;1,28300;1,2195E+00;1,1119E+00
741;1,27070;1,2148E+00;1,1078E+00
742;1,26490;1,2153E+00;1,1084E+00
743;1,28920;1,2405E+00;1,1316E+00
744;1,29550;1,2503E+00;1,1408E+00
